1A 1B 1C 1D 1E 1F
XX 2B 2C 2D 2E 2F
3A 3B 3C XX XX 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E XX
XX 6B 6C XX XX 6F
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D XX 8F
9A 9B XX 9D XX 9F
10A 10B 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A XX 12C 12D 12E 12F
13A 13B 13C XX 13E 13F
14A XX 14C 14D XX 14F
15A 15B 15C 15D XX 15F
16A 16B 16C 16D 16E XX
XX XX XX 17D XX 17F
18A 18B 18C 18D 18E 18F
19A 19B 19C XX 19E 19F
20A XX 20C XX 20E XX
XX 21B 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A XX 24C XX 24E 24F
25A XX 25C XX 25E 25F
26A 26B 26C XX 26E 26F
27A 27B 27C XX 27E 27F
28A 28B 28C 28D 28E 28F
29A XX 29C XX 29E 29F
30A 30B XX 30D 30E 30F
