1A 1B 1C 1D 1E 1F
2A XX 2C 2D 2E 2F
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D 4E XX
5A 5B 5C XX 5E 5F
6A 6B XX 6D 6E 6F
7A 7B 7C 7D 7E 7F
8A 8B 8C XX 8E 8F
9A 9B 9C 9D 9E XX
10A 10B 10C 10D 10E XX
11A 11B 11C 11D XX 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
14A XX 14C XX 14E 14F
15A 15B 15C 15D 15E 15F
16A 16B 16C XX 16E 16F
17A 17B 17C 17D 17E 17F
18A 18B XX 18D 18E 18F
19A XX 19C 19D 19E 19F
XX 20B 20C XX 20E 20F
21A 21B 21C 21D 21E XX
22A 22B XX 22D 22E 22F
23A XX XX 23D 23E 23F
24A 24B 24C XX 24E 24F
25A 25B 25C 25D 25E 25F
26A 26B 26C 26D 26E XX
27A 27B XX 27D XX 27F
28A 28B XX 28D 28E XX
29A XX 29C 29D 29E 29F
XX 30B 30C 30D 30E 30F
