1A 1B 1C 1D 1E 1F
2A 2B XX 2D 2E 2F
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D XX 5F
6A 6B 6C 6D 6E XX
7A XX 7C 7D 7E 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C 9D 9E 9F
XX 10B 10C XX 10E 10F
11A 11B 11C 11D XX 11F
12A XX 12C 12D 12E 12F
13A XX 13C 13D 13E 13F
14A 14B 14C 14D XX 14F
15A XX 15C XX 15E 15F
16A 16B 16C 16D 16E 16F
17A 17B 17C 17D 17E XX
18A XX 18C 18D 18E XX
19A 19B XX 19D 19E 19F
20A 20B 20C XX 20E 20F
21A XX 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
23A XX 23C 23D 23E 23F
24A XX 24C 24D 24E 24F
25A 25B 25C 25D 25E 25F
26A 26B XX 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D XX 29F
30A 30B 30C 30D 30E 30F
