1A 1B 1C 1D 1E 1F
XX 2B 2C 2D 2E XX
XX 3B 3C 3D 3E 3F
4A 4B 4C 4D 4E XX
5A 5B XX 5D 5E 5F
6A 6B 6C XX 6E 6F
7A XX XX 7D XX XX
8A XX 8C XX 8E 8F
9A 9B 9C 9D 9E 9F
10A XX 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A XX 12C 12D XX 12F
13A 13B 13C 13D XX 13F
14A 14B 14C 14D 14E XX
15A 15B 15C 15D 15E 15F
16A XX 16C 16D 16E 16F
17A 17B 17C 17D 17E XX
18A XX 18C 18D 18E 18F
19A 19B XX 19D 19E 19F
20A 20B 20C 20D XX 20F
21A 21B 21C 21D 21E 21F
22A 22B 22C 22D XX XX
23A 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E 24F
25A 25B 25C 25D XX 25F
26A 26B 26C 26D XX XX
27A 27B 27C 27D 27E XX
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E XX
