1A 1B 1C 1D 1E 1F 
2A 2B 2C 2D 2E 2F 
3A 3B 3C 3D 3E 3F 
4A 4B XX 4D 4E 4F 
5A XX 5C 5D XX 5F 
6A 6B 6C XX 6E 6F 
7A 7B 7C 7D 7E 7F 
8A 8B 8C XX 8E 8F 
XX XX 9C 9D 9E 9F 
10A 10B 10C 10D 10E 10F 
11A 11B 11C 11D 11E 11F 
12A 12B 12C 12D 12E 12F 
13A XX XX XX XX XX 
14A 14B XX XX 14E XX 
15A 15B XX XX XX 15F 
16A 16B 16C XX 16E 16F 
17A 17B 17C 17D 17E 17F 
XX 18B XX 18D 18E XX 
19A 19B 19C 19D XX 19F 
XX 20B XX 20D XX 20F 
XX 21B XX 21D 21E 21F 
22A 22B 22C 22D 22E 22F 
23A 23B 23C 23D 23E 23F 
24A 24B XX 24D 24E 24F 
25A 25B 25C 25D 25E 25F 
26A 26B 26C 26D 26E 26F 
27A XX 27C 27D XX 27F 
28A 28B 28C 28D 28E 28F 
29A 29B 29C 29D 29E 29F 
XX XX 30C 30D 30E 30F 
