1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E XX
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
XX 6B 6C 6D XX 6F
XX XX 7C 7D XX 7F
8A 8B XX 8D 8E 8F
9A 9B 9C 9D 9E XX
XX 10B 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B XX 12D 12E 12F
13A 13B 13C XX 13E XX
14A 14B 14C 14D 14E XX
15A 15B 15C 15D 15E XX
16A 16B 16C 16D 16E XX
17A 17B 17C 17D 17E XX
18A 18B 18C 18D 18E 18F
19A 19B XX 19D 19E 19F
20A 20B 20C 20D XX 20F
21A 21B 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E XX
25A XX XX 25D XX XX
26A 26B XX 26D 26E 26F
27A 27B XX 27D 27E 27F
XX 28B 28C 28D 28E 28F
29A XX XX XX 29E 29F
30A XX 30C 30D 30E 30F
