1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B XX 3D XX 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C XX 5E 5F
6A 6B 6C 6D 6E XX
XX XX 7C 7D 7E XX
8A 8B 8C 8D XX 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A 11B 11C 11D XX 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
XX 14B 14C 14D 14E 14F
XX 15B XX 15D 15E XX
16A 16B 16C 16D 16E 16F
17A 17B 17C XX 17E 17F
18A 18B 18C 18D XX XX
19A 19B 19C 19D 19E 19F
20A XX 20C 20D 20E 20F
XX 21B 21C 21D 21E XX
22A 22B 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A XX 24C 24D 24E 24F
XX 25B 25C 25D XX 25F
26A 26B 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B XX 30D 30E 30F
