1A 1B 1C 1D 1E 1F
2A XX 2C 2D 2E 2F
3A 3B XX 3D 3E 3F
4A 4B XX 4D 4E 4F
5A 5B 5C 5D XX 5F
6A 6B 6C 6D XX 6F
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D 8E 8F
9A XX XX 9D XX 9F
XX XX XX XX 10E XX
11A 11B 11C XX 11E 11F
XX 12B 12C 12D 12E XX
13A 13B 13C 13D 13E 13F
14A XX 14C 14D XX 14F
15A 15B 15C 15D 15E 15F
XX XX 16C 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A 18B 18C XX 18E XX
XX 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B XX 21D 21E 21F
22A 22B XX 22D 22E 22F
23A 23B XX 23D 23E 23F
XX XX 24C XX XX 24F
25A 25B 25C 25D 25E 25F
XX XX 26C 26D 26E 26F
27A 27B XX 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D XX 29F
30A XX 30C 30D 30E 30F
