1A 1B 1C 1D 1E 1F
2A 2B 2C XX 2E XX
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E XX
XX XX 6C 6D 6E 6F
7A 7B 7C XX 7E 7F
XX 8B 8C 8D 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
XX 14B 14C 14D 14E 14F
XX XX 15C 15D 15E 15F
16A 16B 16C 16D XX 16F
17A 17B 17C 17D XX XX
18A 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B 21C 21D 21E 21F
22A 22B 22C 22D 22E XX
XX 23B 23C XX 23E 23F
24A 24B 24C 24D 24E 24F
25A XX XX 25D XX 25F
26A XX 26C XX 26E 26F
27A XX 27C XX 27E 27F
28A 28B 28C 28D 28E 28F
29A XX 29C 29D 29E 29F
XX 30B XX 30D 30E XX
