1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A XX 3C 3D 3E 3F
4A XX XX 4D 4E XX
5A 5B 5C XX XX 5F
6A 6B 6C 6D 6E 6F
7A 7B 7C 7D 7E 7F
8A 8B 8C XX 8E 8F
XX XX 9C 9D 9E 9F
10A 10B 10C XX 10E 10F
11A 11B 11C XX 11E 11F
12A XX 12C XX 12E 12F
13A 13B 13C 13D 13E 13F
14A 14B 14C 14D 14E 14F
XX 15B XX 15D 15E 15F
16A 16B XX 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A 18B 18C XX 18E 18F
XX 19B 19C 19D 19E XX
20A 20B 20C 20D 20E XX
21A 21B 21C 21D 21E 21F
22A XX 22C 22D 22E 22F
XX 23B 23C 23D 23E 23F
XX 24B 24C 24D 24E 24F
25A 25B 25C 25D XX 25F
26A 26B 26C 26D 26E XX
XX 27B 27C 27D 27E 27F
28A 28B 28C 28D XX XX
29A 29B 29C 29D 29E 29F
XX 30B 30C 30D XX 30F
