1 A 1 B 1 C XX 1 E 1 F 
2 A 2 B XX 2 D 2 E 2 F 
3 A 3 B 3 C 3 D 3 E 3 F 
4 A 4 B 4 C 4 D 4 E 4 F 
5 A 5 B 5 C XX 5 E XX 
6 A 6 B XX 6 D 6 E 6 F 
7 A 7 B 7 C 7 D 7 E 7 F 
8 A XX 8 C 8 D XX 8 F 
9 A 9 B 9 C 9 D 9 E 9 F 
10A 10B 10C 10D 10E 10F 
XX 11B 11C 11D 11E 11F 
12A 12B 12C 12D 12E 12F 
13A 13B 13C XX 13E 13F 
14A 14B 14C 14D XX 14F 
XX 15B 15C 15D XX 15F 
XX 16B 16C 16D 16E 16F 
17A 17B 17C 17D 17E 17F 
18A XX 18C 18D 18E 18F 
19A 19B 19C 19D 19E 19F 
20A 20B 20C 20D XX 20F 
21A 21B 21C 21D 21E 21F 
22A 22B XX 22D 22E 22F 
23A 23B 23C 23D 23E XX 
24A XX 24C 24D 24E XX 
XX 25B 25C 25D 25E 25F 
26A 26B 26C 26D 26E 26F 
27A 27B 27C XX 27E 27F 
28A 28B 28C XX 28E 28F 
29A XX XX 29D 29E 29F 
XX 30B XX 30D 30E 30F 
