1 A 1 B 1 C 1 D 1 E XX 
2 A XX 2 C 2 D 2 E 2 F 
3 A 3 B 3 C 3 D 3 E XX 
4 A 4 B 4 C XX 4 E 4 F 
5 A 5 B 5 C 5 D XX 5 F 
6 A 6 B XX XX 6 E 6 F 
7 A 7 B 7 C 7 D 7 E XX 
8 A 8 B 8 C 8 D 8 E 8 F 
9 A XX 9 C 9 D 9 E 9 F 
10A 10B 10C 10D 10E 10F 
11A 11B 11C 11D 11E 11F 
12A 12B 12C 12D 12E 12F 
13A 13B 13C 13D 13E 13F 
14A 14B 14C 14D 14E 14F 
15A 15B 15C 15D 15E 15F 
16A 16B 16C 16D 16E 16F 
17A 17B 17C 17D 17E 17F 
18A XX 18C 18D 18E 18F 
19A XX 19C 19D 19E 19F 
XX 20B 20C 20D 20E XX 
21A 21B 21C 21D 21E 21F 
22A 22B 22C 22D 22E 22F 
23A 23B XX 23D XX 23F 
24A 24B XX XX 24E 24F 
XX 25B 25C 25D 25E 25F 
26A 26B 26C 26D 26E 26F 
XX 27B XX 27D 27E 27F 
XX 28B XX 28D 28E 28F 
29A 29B 29C 29D 29E 29F 
30A 30B 30C 30D 30E 30F 
