1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A XX 5C XX XX 5F
6A 6B 6C 6D 6E XX
7A 7B 7C 7D 7E XX
8A XX 8C 8D 8E 8F
9A 9B XX 9D 9E 9F
10A 10B XX 10D 10E 10F
XX 11B 11C 11D 11E XX
12A 12B 12C XX 12E 12F
13A 13B 13C 13D 13E 13F
14A 14B 14C 14D 14E 14F
15A 15B 15C 15D XX 15F
16A 16B 16C 16D 16E 16F
17A 17B 17C XX 17E 17F
XX 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E XX
20A 20B 20C 20D 20E 20F
XX XX 21C 21D 21E 21F
XX 22B 22C XX 22E 22F
23A 23B 23C 23D XX 23F
24A XX XX 24D 24E 24F
25A 25B 25C 25D 25E 25F
26A 26B 26C XX 26E XX
27A 27B XX 27D 27E 27F
XX 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E XX
