1A 1B 1C 1D 1E 1F
2A 2B XX 2D 2E 2F
3A 3B 3C 3D 3E 3F
4A 4B XX 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A 7B 7C XX 7E XX
XX 8B XX 8D 8E 8F
9A 9B 9C XX 9E XX
XX XX 10C XX 10E 10F
XX XX 11C 11D 11E 11F
12A XX 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
14A XX XX 14D 14E 14F
15A 15B 15C 15D XX 15F
16A 16B 16C 16D 16E 16F
17A 17B 17C 17D XX 17F
18A 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E XX
20A 20B XX 20D 20E 20F
21A 21B 21C 21D 21E 21F
XX 22B 22C 22D XX 22F
23A 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E 24F
25A 25B 25C XX 25E 25F
26A 26B 26C 26D 26E 26F
27A 27B 27C 27D 27E XX
28A XX XX 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A XX 30C 30D 30E 30F
