1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A XX 6C 6D 6E XX
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D XX 8F
XX 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A 11B 11C 11D XX 11F
12A 12B 12C XX 12E 12F
13A 13B 13C 13D 13E XX
14A 14B XX 14D XX 14F
15A 15B 15C 15D 15E 15F
16A 16B 16C 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A 18B 18C 18D 18E XX
19A 19B XX 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B XX 21D 21E XX
22A XX 22C 22D 22E 22F
XX 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E XX
25A 25B 25C 25D 25E 25F
26A 26B 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A 28B XX XX 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E 30F
