1A 1B 1C 1D 1E 1F
2A XX 2C 2D 2E 2F
3A 3B 3C 3D 3E 3F
4A XX 4C 4D 4E 4F
XX 5B 5C 5D 5E 5F
XX 6B 6C 6D 6E 6F
7A 7B 7C 7D 7E 7F
8A 8B 8C XX 8E 8F
9A XX 9C 9D 9E 9F
10A 10B 10C 10D XX 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E XX
13A 13B 13C 13D 13E 13F
14A XX XX XX XX XX
15A XX 15C 15D 15E 15F
16A 16B 16C 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
19A XX 19C 19D 19E 19F
XX 20B 20C 20D 20E 20F
21A 21B 21C 21D XX 21F
22A XX 22C 22D XX 22F
23A XX 23C 23D 23E 23F
24A XX XX 24D 24E 24F
25A 25B 25C 25D 25E 25F
26A 26B 26C XX 26E 26F
27A 27B 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
XX 29B 29C XX 29E XX
XX XX 30C XX 30E 30F
