1A 1B 1C 1D 1E 1F
2A 2B 2C XX 2E 2F
XX 3B 3C 3D 3E 3F
4A 4B XX XX 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B XX 6D 6E 6F
XX 7B 7C 7D 7E 7F
8A 8B 8C 8D XX 8F
9A 9B 9C 9D XX 9F
10A 10B XX 10D 10E 10F
XX 11B XX 11D 11E XX
12A 12B XX 12D XX 12F
13A 13B 13C 13D 13E XX
14A XX 14C XX 14E 14F
15A 15B XX 15D XX 15F
16A 16B 16C 16D 16E XX
XX 17B 17C XX 17E XX
XX XX 18C XX 18E 18F
19A XX 19C XX 19E 19F
20A 20B 20C 20D 20E XX
21A 21B 21C 21D 21E 21F
XX 22B 22C 22D XX XX
23A XX 23C 23D 23E 23F
24A 24B 24C 24D 24E 24F
25A 25B 25C 25D XX 25F
26A 26B 26C 26D 26E 26F
27A 27B 27C XX 27E 27F
28A 28B 28C 28D XX XX
29A 29B 29C XX 29E 29F
XX XX 30C 30D 30E XX
