1A 1B 1C 1D 1E 1F
2A 2B 2C 2D XX 2F
XX 3B 3C 3D 3E 3F
4A 4B XX 4D XX 4F
5A 5B 5C 5D 5E 5F
XX 6B 6C 6D 6E 6F
7A 7B 7C XX 7E 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C XX XX XX
XX XX 11C XX 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C XX XX 13F
14A XX 14C 14D 14E 14F
15A 15B 15C 15D 15E 15F
16A 16B 16C 16D 16E 16F
17A 17B 17C XX 17E 17F
XX 18B 18C XX XX 18F
19A XX 19C XX 19E 19F
20A XX 20C 20D XX 20F
21A 21B 21C 21D 21E 21F
XX 22B 22C 22D XX 22F
23A 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E 24F
XX 25B 25C 25D 25E 25F
XX 26B 26C 26D 26E 26F
XX 27B 27C 27D 27E 27F
28A 28B 28C XX 28E 28F
29A 29B XX 29D 29E 29F
30A 30B 30C 30D 30E 30F
