1A 1B 1C 1D 1E 1F
2A XX 2C 2D 2E 2F
3A 3B 3C 3D 3E XX
XX 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
XX 6B 6C 6D XX 6F
7A 7B 7C 7D 7E 7F
XX 8B 8C 8D XX 8F
9A 9B 9C XX 9E 9F
10A 10B 10C 10D 10E 10F
XX 11B 11C 11D 11E 11F
12A XX XX 12D 12E 12F
XX 13B 13C 13D 13E XX
14A XX 14C 14D 14E 14F
15A 15B 15C XX 15E 15F
16A 16B XX 16D 16E 16F
17A 17B 17C 17D 17E 17F
XX XX 18C XX 18E 18F
19A 19B XX 19D XX XX
20A XX 20C 20D 20E XX
21A 21B 21C 21D 21E XX
22A 22B 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A 24B 24C XX 24E 24F
25A 25B 25C 25D XX XX
26A 26B 26C 26D 26E XX
27A 27B 27C XX XX 27F
28A 28B 28C 28D XX 28F
29A 29B 29C 29D 29E 29F
XX 30B 30C 30D XX 30F
