1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
XX XX XX 3D XX 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C XX 6E 6F
7A 7B 7C XX 7E 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B XX XX 10E 10F
11A 11B 11C 11D XX 11F
12A 12B 12C 12D 12E 12F
13A 13B XX 13D 13E 13F
14A 14B 14C 14D 14E 14F
XX 15B XX XX 15E 15F
XX 16B 16C 16D XX XX
17A 17B 17C XX 17E 17F
18A 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C XX 20E 20F
21A 21B 21C 21D 21E 21F
22A 22B 22C XX 22E 22F
23A XX 23C 23D XX 23F
XX 24B XX 24D 24E 24F
25A 25B 25C 25D 25E 25F
26A 26B 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
XX 28B 28C 28D XX 28F
29A XX XX XX 29E 29F
30A 30B 30C 30D 30E 30F
