1A 1B 1C 1D 1E 1F
2A 2B XX XX 2E XX
3A 3B 3C XX 3E 3F
4A XX 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D XX 6F
7A XX XX 7D XX 7F
8A 8B 8C 8D 8E XX
9A 9B 9C 9D 9E XX
XX 10B 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B XX 12D 12E XX
13A XX 13C 13D 13E 13F
XX 14B 14C 14D 14E 14F
15A 15B 15C 15D XX 15F
16A 16B 16C XX 16E 16F
17A XX 17C 17D 17E 17F
18A 18B 18C 18D 18E XX
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B XX XX 21E 21F
22A 22B 22C 22D XX 22F
XX 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E 24F
25A 25B 25C 25D 25E 25F
XX XX XX 26D 26E 26F
27A 27B 27C 27D XX 27F
XX XX 28C 28D 28E 28F
29A 29B 29C XX XX 29F
30A 30B XX XX 30E XX
