1 A XX 1 C 1 D 1 E 1 F 
XX 2 B XX 2 D 2 E 2 F 
3 A 3 B 3 C 3 D 3 E 3 F 
4 A 4 B 4 C 4 D 4 E 4 F 
5 A XX 5 C XX 5 E XX 
6 A XX XX 6 D 6 E XX 
7 A 7 B 7 C 7 D 7 E 7 F 
8 A 8 B 8 C 8 D 8 E 8 F 
9 A XX 9 C 9 D 9 E 9 F 
10A 10B 10C 10D 10E 10F 
11A XX 11C 11D 11E 11F 
XX 12B 12C 12D 12E 12F 
XX 13B 13C 13D XX 13F 
14A XX 14C 14D 14E 14F 
15A XX XX XX XX XX 
16A XX XX 16D 16E 16F 
17A 17B 17C XX XX 17F 
18A 18B XX 18D 18E 18F 
19A 19B 19C XX 19E 19F 
20A 20B XX 20D 20E 20F 
21A 21B 21C 21D 21E 21F 
22A XX 22C 22D 22E XX 
23A 23B XX 23D 23E 23F 
24A 24B 24C 24D XX 24F 
25A 25B 25C 25D XX 25F 
26A 26B 26C 26D 26E 26F 
XX 27B 27C 27D 27E 27F 
XX 28B 28C 28D XX 28F 
29A 29B 29C 29D 29E 29F 
30A 30B XX XX 30E 30F 
