1A 1B 1C 1D 1E 1F
2A XX 2C XX 2E 2F
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D XX 4F
5A 5B 5C XX 5E 5F
6A 6B 6C 6D XX 6F
7A 7B 7C 7D 7E XX
8A 8B 8C 8D 8E 8F
9A 9B XX 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A 11B 11C XX 11E XX
12A 12B 12C 12D XX XX
13A 13B 13C 13D 13E 13F
14A 14B XX 14D 14E 14F
15A 15B 15C 15D 15E 15F
16A XX 16C 16D XX 16F
17A 17B 17C XX 17E 17F
18A 18B 18C 18D XX XX
XX 19B 19C XX 19E 19F
20A 20B XX 20D 20E 20F
21A 21B 21C XX 21E 21F
22A 22B XX XX 22E XX
23A 23B 23C XX 23E 23F
24A 24B 24C 24D XX 24F
25A 25B 25C 25D 25E 25F
26A 26B 26C 26D XX XX
27A 27B 27C 27D 27E 27F
28A 28B 28C XX 28E 28F
XX 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E 30F
