1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A XX 3C 3D 3E 3F
4A XX 4C 4D 4E 4F
5A XX 5C XX XX 5F
6A 6B 6C 6D XX 6F
7A 7B XX 7D 7E XX
8A 8B 8C 8D 8E 8F
9A XX 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C XX 12E XX
13A 13B 13C 13D 13E XX
14A 14B 14C 14D 14E XX
15A 15B 15C XX 15E 15F
16A XX 16C 16D 16E 16F
17A 17B 17C 17D 17E 17F
XX 18B XX XX 18E 18F
19A 19B 19C 19D 19E 19F
20A XX 20C 20D 20E 20F
21A 21B XX 21D 21E 21F
22A 22B 22C 22D 22E 22F
23A 23B 23C 23D XX 23F
24A XX XX 24D XX 24F
25A 25B 25C 25D 25E 25F
26A 26B 26C XX 26E 26F
27A 27B 27C 27D 27E 27F
28A XX 28C 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E 30F
