XX 1 B 1 C 1 D 1 E 1 F 
2 A XX 2 C XX 2 E 2 F 
3 A 3 B XX XX XX 3 F 
4 A 4 B 4 C 4 D 4 E 4 F 
5 A 5 B XX 5 D 5 E 5 F 
6 A 6 B 6 C 6 D 6 E 6 F 
7 A 7 B 7 C 7 D 7 E 7 F 
XX 8 B 8 C 8 D XX 8 F 
9 A 9 B 9 C 9 D 9 E 9 F 
10A 10B 10C 10D 10E 10F 
XX 11B 11C 11D 11E 11F 
12A 12B 12C 12D 12E 12F 
13A 13B 13C 13D XX 13F 
14A 14B 14C 14D 14E 14F 
XX 15B 15C 15D 15E XX 
16A 16B XX XX 16E 16F 
17A 17B 17C 17D 17E 17F 
18A 18B 18C 18D 18E 18F 
19A 19B 19C 19D 19E 19F 
XX 20B 20C 20D 20E 20F 
21A 21B 21C 21D XX 21F 
XX 22B 22C 22D 22E 22F 
23A 23B 23C 23D 23E 23F 
24A 24B XX 24D 24E 24F 
25A 25B XX 25D XX 25F 
26A XX 26C 26D 26E 26F 
27A XX 27C 27D 27E 27F 
28A 28B 28C 28D 28E 28F 
29A XX 29C 29D XX 29F 
30A 30B 30C 30D 30E 30F 
