1 A XX 1 C 1 D 1 E 1 F 
2 A 2 B 2 C 2 D 2 E 2 F 
3 A 3 B 3 C 3 D 3 E 3 F 
4 A XX 4 C 4 D 4 E XX 
5 A 5 B 5 C 5 D 5 E XX 
6 A 6 B 6 C 6 D 6 E 6 F 
7 A 7 B 7 C 7 D 7 E 7 F 
8 A 8 B 8 C 8 D 8 E 8 F 
9 A 9 B 9 C 9 D 9 E XX 
10A 10B 10C 10D 10E 10F 
11A 11B 11C 11D 11E XX 
12A 12B 12C 12D 12E XX 
13A 13B XX 13D XX 13F 
14A 14B 14C 14D 14E 14F 
15A 15B 15C 15D 15E 15F 
16A 16B 16C 16D XX 16F 
17A 17B 17C 17D 17E 17F 
18A 18B 18C 18D 18E 18F 
19A 19B 19C 19D XX 19F 
20A 20B 20C XX 20E XX 
21A XX XX 21D 21E 21F 
22A 22B 22C 22D 22E 22F 
23A 23B XX XX 23E 23F 
24A 24B 24C 24D 24E 24F 
25A 25B 25C 25D 25E 25F 
26A 26B XX 26D 26E XX 
27A 27B 27C 27D 27E 27F 
28A 28B 28C 28D 28E 28F 
29A XX 29C 29D 29E XX 
30A XX 30C 30D 30E 30F 
