1A 1B 1C 1D 1E 1F
2A XX 2C 2D 2E 2F
XX 3B 3C 3D XX 3F
XX 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E XX
6A XX 6C XX 6E 6F
7A 7B 7C XX 7E XX
XX 8B 8C XX 8E 8F
9A 9B XX 9D 9E 9F
10A 10B XX 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E 12F
13A XX 13C 13D 13E 13F
14A XX 14C XX 14E 14F
15A 15B XX 15D 15E 15F
16A 16B XX 16D XX 16F
XX 17B 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
19A 19B 19C XX 19E 19F
20A 20B 20C XX 20E 20F
21A 21B 21C 21D 21E 21F
22A 22B 22C 22D XX 22F
23A 23B XX 23D 23E 23F
24A XX 24C XX 24E 24F
XX 25B 25C 25D 25E 25F
26A XX 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A XX 28C 28D 28E 28F
29A XX 29C 29D 29E 29F
30A 30B 30C XX 30E 30F
