1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C 3D 3E XX
4A 4B 4C 4D 4E XX
5A 5B 5C 5D 5E 5F
XX XX 6C 6D 6E 6F
XX 7B 7C 7D 7E XX
8A 8B 8C 8D 8E 8F
9A 9B 9C XX 9E 9F
10A 10B XX 10D 10E 10F
XX 11B 11C XX 11E XX
12A 12B XX 12D 12E 12F
13A 13B 13C 13D 13E 13F
14A 14B XX 14D 14E 14F
15A 15B XX 15D 15E XX
16A 16B 16C XX 16E 16F
17A 17B 17C XX 17E 17F
18A 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B 21C 21D 21E 21F
XX XX 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
XX 24B XX XX 24E XX
25A 25B XX 25D 25E XX
26A 26B 26C XX 26E XX
XX 27B 27C 27D 27E 27F
28A 28B XX 28D XX 28F
29A 29B XX 29D 29E 29F
30A 30B XX 30D 30E 30F
