1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E XX
3A XX 3C 3D 3E 3F
XX 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C XX XX XX
7A XX 7C 7D 7E 7F
8A XX 8C 8D 8E 8F
9A 9B XX 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A 11B XX 11D 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
XX 14B 14C 14D 14E 14F
15A 15B 15C XX 15E 15F
16A XX 16C 16D XX 16F
17A 17B 17C 17D 17E 17F
18A XX 18C 18D 18E 18F
19A XX 19C 19D 19E 19F
20A XX 20C 20D 20E 20F
21A 21B 21C XX 21E 21F
22A 22B 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
XX XX 24C 24D XX 24F
25A 25B 25C XX 25E 25F
XX 26B XX 26D 26E 26F
27A XX 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A XX 29C 29D XX 29F
30A 30B 30C 30D 30E 30F
