1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B XX 3D 3E XX
4A 4B 4C 4D 4E XX
XX 5B 5C 5D 5E XX
6A 6B 6C XX 6E 6F
XX 7B 7C 7D 7E 7F
XX 8B 8C 8D 8E 8F
XX XX 9C 9D 9E XX
10A XX XX XX 10E 10F
11A 11B 11C 11D 11E XX
12A 12B 12C 12D 12E 12F
13A XX 13C 13D 13E 13F
14A 14B 14C 14D 14E 14F
15A 15B 15C 15D 15E 15F
16A 16B 16C 16D 16E 16F
17A XX 17C 17D 17E 17F
18A 18B XX 18D 18E XX
19A 19B XX 19D 19E 19F
20A 20B XX 20D 20E 20F
21A 21B 21C 21D 21E 21F
22A 22B XX 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E 24F
25A 25B 25C 25D 25E XX
26A XX 26C 26D XX 26F
27A 27B XX 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E 29F
XX 30B XX 30D 30E 30F
