1A 1B 1C 1D 1E 1F
XX 2B 2C 2D 2E 2F
3A 3B 3C 3D 3E 3F
4A 4B XX 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A XX 6C 6D 6E XX
XX 7B 7C 7D XX 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C XX 9E 9F
10A XX 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D XX 12F
13A 13B 13C 13D 13E 13F
14A 14B 14C 14D 14E 14F
15A 15B 15C 15D XX 15F
16A 16B 16C 16D 16E 16F
17A XX 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
19A XX 19C 19D 19E XX
20A 20B 20C 20D 20E XX
21A 21B 21C XX XX XX
XX 22B 22C XX 22E 22F
23A 23B 23C 23D 23E 23F
24A 24B 24C 24D XX 24F
25A XX 25C XX 25E 25F
XX XX 26C 26D 26E XX
XX 27B 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E 30F
