1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C XX XX 3F
4A 4B XX 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C XX 6E 6F
7A 7B 7C 7D 7E 7F
8A XX 8C 8D 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C 10D XX 10F
11A XX 11C 11D XX XX
12A 12B 12C 12D 12E 12F
XX 13B 13C 13D XX 13F
14A 14B XX XX 14E 14F
XX XX 15C XX 15E 15F
16A 16B 16C 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A 18B XX 18D 18E 18F
XX 19B 19C 19D 19E XX
XX 20B 20C 20D 20E XX
21A 21B 21C 21D 21E 21F
XX 22B 22C 22D 22E 22F
23A 23B XX 23D XX 23F
24A 24B 24C 24D 24E 24F
25A 25B XX 25D XX 25F
26A 26B 26C XX XX 26F
27A 27B XX 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A XX 30C 30D 30E XX
