1A 1B 1C 1D 1E 1F
2A XX 2C 2D 2E 2F
3A XX 3C XX 3E 3F
4A XX 4C 4D XX 4F
5A 5B 5C 5D 5E 5F
XX XX 6C 6D XX 6F
7A XX 7C 7D 7E 7F
8A XX 8C 8D 8E 8F
9A 9B 9C 9D 9E XX
10A 10B 10C XX 10E 10F
XX 11B 11C XX 11E XX
XX 12B 12C 12D 12E 12F
13A 13B 13C 13D XX 13F
14A 14B XX 14D 14E 14F
15A 15B 15C 15D 15E 15F
16A 16B 16C 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A 18B XX 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
XX 21B 21C 21D 21E 21F
XX 22B 22C 22D 22E 22F
XX 23B 23C 23D XX 23F
24A 24B 24C 24D 24E XX
25A 25B 25C XX 25E 25F
26A 26B 26C 26D 26E 26F
27A XX 27C XX XX 27F
28A 28B 28C XX 28E 28F
29A XX 29C 29D XX 29F
30A 30B 30C 30D XX XX
