1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A XX 3C 3D 3E 3F
XX 4B 4C 4D 4E 4F
5A 5B XX 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A 7B 7C XX 7E 7F
8A 8B 8C XX 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A XX 11C 11D 11E XX
12A 12B 12C 12D 12E XX
XX 13B 13C XX XX 13F
14A 14B XX 14D 14E 14F
15A XX 15C 15D 15E XX
16A 16B 16C 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A 18B 18C XX 18E 18F
19A XX 19C XX 19E 19F
20A 20B 20C XX 20E 20F
XX 21B 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A 24B XX 24D XX 24F
25A 25B 25C 25D XX 25F
26A 26B 26C 26D XX 26F
27A 27B 27C XX 27E 27F
28A 28B 28C 28D XX 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D XX 30F
