1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C XX 3E 3F
XX 4B XX 4D 4E XX
XX 5B 5C 5D 5E 5F
XX 6B 6C 6D XX 6F
7A 7B 7C 7D 7E 7F
XX 8B 8C 8D 8E 8F
9A 9B 9C 9D 9E 9F
XX 10B 10C XX 10E 10F
11A 11B 11C 11D XX 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D 13E XX
14A 14B 14C 14D 14E 14F
15A 15B XX 15D 15E 15F
16A 16B XX 16D 16E 16F
17A 17B 17C 17D 17E XX
18A 18B 18C 18D 18E 18F
19A XX 19C 19D 19E 19F
XX 20B XX 20D 20E XX
21A XX 21C 21D 21E XX
22A 22B 22C 22D XX 22F
23A XX 23C XX 23E 23F
24A 24B 24C 24D 24E 24F
XX 25B 25C XX 25E 25F
26A 26B 26C 26D 26E XX
27A 27B 27C XX 27E 27F
28A 28B XX 28D 28E XX
29A 29B XX 29D 29E 29F
XX XX 30C 30D XX 30F
