1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C XX 6E 6F
7A XX 7C 7D 7E 7F
8A XX XX 8D 8E 8F
9A 9B 9C 9D 9E XX
XX 10B 10C XX 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D XX 13F
14A XX 14C 14D 14E 14F
15A 15B 15C 15D 15E 15F
16A 16B 16C 16D 16E 16F
17A 17B XX 17D 17E 17F
18A 18B XX 18D 18E 18F
19A 19B 19C 19D XX 19F
20A 20B 20C XX 20E 20F
XX 21B 21C 21D XX 21F
XX 22B 22C 22D 22E XX
23A 23B 23C 23D 23E XX
24A 24B 24C 24D 24E 24F
25A 25B 25C 25D 25E 25F
26A 26B 26C 26D 26E 26F
27A XX 27C 27D 27E 27F
XX 28B 28C XX 28E 28F
29A XX 29C XX 29E 29F
XX 30B 30C 30D 30E 30F
