1A 1B 1C 1D 1E 1F
2A 2B XX XX 2E 2F
3A XX 3C 3D 3E 3F
XX 4B 4C XX 4E 4F
5A 5B 5C 5D 5E XX
6A 6B 6C 6D XX 6F
7A 7B 7C XX XX 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E XX
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E 12F
13A XX 13C 13D 13E 13F
XX 14B 14C XX 14E 14F
15A 15B 15C 15D 15E XX
16A 16B 16C 16D 16E 16F
17A 17B XX 17D XX 17F
XX 18B 18C 18D XX 18F
19A 19B 19C 19D 19E 19F
20A XX 20C 20D 20E 20F
21A XX 21C 21D 21E 21F
22A XX 22C 22D 22E 22F
XX 23B 23C 23D 23E 23F
24A XX 24C 24D 24E 24F
25A 25B 25C 25D 25E XX
26A 26B 26C 26D 26E 26F
XX 27B 27C XX 27E 27F
28A 28B 28C 28D XX 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E 30F
