1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C 3D 3E 3F
XX XX 4C 4D 4E XX
5A XX 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A 7B 7C 7D XX 7F
XX 8B XX XX 8E 8F
9A 9B 9C 9D XX 9F
10A 10B XX 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C XX XX 12F
13A XX 13C 13D 13E 13F
XX 14B 14C 14D 14E 14F
15A 15B XX 15D 15E 15F
16A 16B 16C 16D 16E 16F
17A 17B 17C 17D 17E 17F
XX XX 18C 18D XX 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B 21C 21D 21E 21F
22A 22B XX XX 22E XX
23A 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E 24F
25A 25B 25C 25D 25E 25F
26A 26B 26C 26D 26E XX
XX 27B 27C XX 27E XX
28A 28B 28C 28D XX 28F
29A XX XX 29D 29E 29F
30A 30B 30C XX XX 30F
