1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E XX
3A 3B 3C 3D XX 3F
4A 4B 4C 4D 4E 4F
XX 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A XX 7C 7D 7E 7F
8A 8B 8C XX 8E 8F
XX 9B XX 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A 11B 11C 11D 11E XX
XX XX 12C 12D 12E 12F
13A XX 13C 13D 13E 13F
14A 14B 14C XX 14E XX
15A 15B 15C 15D 15E 15F
16A 16B 16C 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A 18B 18C 18D XX 18F
XX 19B XX 19D XX 19F
20A 20B 20C 20D 20E 20F
21A 21B 21C 21D 21E 21F
XX XX 22C 22D XX 22F
23A 23B 23C 23D 23E 23F
24A 24B XX XX 24E 24F
XX 25B 25C 25D 25E 25F
XX 26B XX 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A 28B 28C 28D 28E XX
29A 29B 29C XX 29E XX
30A XX 30C XX 30E 30F
