1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C 3D 3E 3F
XX 4B XX 4D 4E 4F
5A 5B 5C XX 5E 5F
6A 6B 6C XX 6E 6F
7A XX 7C 7D 7E 7F
8A 8B 8C 8D XX 8F
9A XX 9C 9D 9E 9F
10A 10B XX 10D XX XX
11A 11B XX 11D 11E 11F
12A XX 12C XX XX 12F
13A XX 13C 13D XX 13F
14A 14B 14C 14D 14E 14F
15A 15B 15C XX 15E XX
16A XX XX XX 16E 16F
17A 17B 17C 17D 17E XX
XX 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A XX 20C 20D 20E 20F
21A XX XX 21D 21E 21F
22A 22B 22C 22D XX 22F
23A XX 23C 23D 23E 23F
24A 24B 24C 24D 24E 24F
25A 25B 25C 25D 25E 25F
26A XX XX XX 26E 26F
27A 27B XX XX 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B XX 30D 30E 30F
