1 A 1 B 1 C 1 D 1 E XX 
XX 2 B 2 C 2 D 2 E 2 F 
3 A 3 B 3 C 3 D 3 E 3 F 
4 A 4 B 4 C 4 D 4 E 4 F 
5 A 5 B 5 C XX 5 E XX 
6 A XX XX 6 D 6 E 6 F 
7 A 7 B 7 C 7 D 7 E 7 F 
8 A 8 B 8 C 8 D 8 E 8 F 
9 A 9 B 9 C 9 D 9 E 9 F 
10A 10B 10C 10D 10E 10F 
XX 11B 11C XX 11E 11F 
12A 12B 12C 12D 12E XX 
XX 13B 13C 13D 13E 13F 
14A XX 14C 14D 14E 14F 
15A 15B 15C 15D 15E 15F 
16A 16B 16C 16D 16E 16F 
17A 17B 17C 17D XX 17F 
18A 18B 18C XX 18E 18F 
19A 19B 19C 19D 19E 19F 
20A XX 20C 20D 20E 20F 
XX XX 21C 21D 21E XX 
22A 22B 22C 22D 22E 22F 
23A 23B 23C 23D 23E 23F 
24A 24B 24C 24D 24E 24F 
25A XX 25C 25D 25E 25F 
XX 26B 26C XX XX 26F 
27A XX 27C 27D 27E 27F 
XX 28B XX 28D XX XX 
XX 29B 29C 29D 29E 29F 
XX 30B 30C 30D XX 30F 
