    TPP PIU CIX CJA TRU LIM CUZ AQP SCL ARI IQQ CJC ANF LSC CCP ZCO PMC BBA UIO BUE CPC SLA IGR TUC COR MDZ NQN BRC CRD FTE USH REL RES RIO IGU FLN GRU REC ADZ BOG CLO CTG CUC MDE PEI SMR MTR BAQ MVD ASU 
TPP 0 1 1 1 0 2 2 2 4 0 0 0 0 0 0 0 0 0 3 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 3 0 0 0 3 2 0 0 0 0 0 
PIU 1 0 1 1 1 2 2 2 4 0 0 0 0 0 0 0 0 0 3 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 3 0 0 0 3 2 0 0 0 0 0 
CIX 1 1 0 1 1 2 2 0 4 0 0 0 0 0 0 0 0 0 3 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 3 0 2 0 3 0 0 0 0 0 0 
CJA 1 1 1 0 1 2 2 2 4 0 0 0 0 0 0 0 0 0 3 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 3 0 0 0 3 0 0 0 0 0 0 
TRU 0 1 1 1 0 2 2 2 4 0 0 0 0 0 0 0 0 0 3 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 3 0 0 0 3 0 0 0 0 0 0 
LIM 2 2 2 2 2 0 1 1 3 3 3 3 4 4 4 4 4 5 2 4 4 4 5 4 4 4 4 5 5 5 6 5 4 5 5 5 3 5 3 3 3 3 3 3 3 3 3 3 4 4 
CUZ 2 2 2 2 2 1 0 1 3 0 3 0 0 0 0 0 0 0 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 3 0 0 0 3 0 0 0 0 3 3 
AQP 2 2 0 2 2 1 1 0 3 0 0 0 0 0 0 0 0 0 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 3 0 0 0 3 0 0 0 0 3 3 
SCL 4 4 4 4 4 3 3 3 0 2 2 2 2 2 2 2 2 3 4 3 3 3 3 3 3 2 3 3 3 3 4 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 3 3 
ARI 0 0 0 0 0 3 0 0 2 0 1 0 0 0 0 0 0 0 4 3 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 4 0 0 0 0 0 0 0 0 3 3 
IQQ 0 0 0 0 0 3 3 0 2 1 0 1 0 0 0 0 0 0 4 3 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 4 0 0 0 0 0 0 0 0 3 3 
CJC 0 0 0 0 0 3 0 0 2 0 1 0 1 0 0 0 0 0 0 3 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 4 0 0 0 0 0 0 0 0 0 0 
ANF 0 0 0 0 0 4 0 0 2 0 0 1 0 1 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 4 0 0 0 0 0 0 0 0 0 0 
LSC 0 0 0 0 0 4 0 0 2 0 0 0 1 0 1 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 4 0 0 0 0 0 0 0 0 0 0 
CCP 0 0 0 0 0 4 0 0 2 0 0 0 0 1 0 1 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 4 0 0 0 0 0 0 0 0 3 0 
ZCO 0 0 0 0 0 4 0 0 2 0 0 0 0 0 1 0 1 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 4 0 0 0 0 0 0 0 0 0 3 
